ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,1260,1,0-2,1,0.17048750000000001,0.1092,0,0,1260,completed
1,13,200,1,0-2,1,0.02670555555555556,0.017333333333333333,13,0,213,completed
2,92,314,3,0-2,3-4,0.12578316666666667,0.08164,92,0,406,completed
4,397,133,1,0-2,1,0.017759194444444446,0.011526666666666668,397,0,530,completed
5,523,125,2,0-2,2,0.03338194444444444,0.021666666666666667,523,0,648,completed
6,523,125,2,0-2,2,0.03338194444444444,0.021666666666666667,523,0,648,completed
10,958,350,2,0-2,2,0.06758888888888889,0.06066666666666667,5040,4082,5390,completed
11,1159,565,1,0-2,1,0.05455388888888889,0.048966666666666665,5040,3881,5605,completed
3,167,4709,1,6-12,1,0.5443295833333334,0.40811333333333333,5760,5593,10469,completed
7,587,10992,1,12-24,1,2.4732999999999996,0.95264,5760,5173,16752,completed
8,601,10569,1,12-24,1,2.321322333333333,0.91598,5760,5159,16329,completed
9,810,4732,3,6-12,3-4,1.647335,1.23032,5760,4950,10492,completed
12,1284,5424,1,6-12,1,0.7061686666666667,0.47008,5760,4476,11184,completed
13,1389,2434,2,2-6,2,0.4159552777777778,0.42189333333333334,5760,4371,8194,completed
14,1515,408,1,0-2,1,0.03178433333333333,0.03536,5760,4245,6168,completed
15,1725,222,1,0-2,1,0.017294416666666663,0.01924,5760,4035,5982,completed
16,1725,222,1,0-2,1,0.017294416666666663,0.01924,5760,4035,5982,completed
17,1997,1667,1,2-6,1,0.13811970833333334,0.14447333333333334,5760,3763,7427,completed
18,2096,83,1,0-2,1,0.006465930555555554,0.007193333333333334,5760,3664,5843,completed
19,2253,494,1,0-2,1,0.03848397222222222,0.042813333333333335,5760,3507,6254,completed
20,2299,112,1,0-2,1,0.00872511111111111,0.009706666666666667,5760,3461,5872,completed
21,2555,3388,1,6-12,1,0.31129988888888893,0.29362666666666665,5760,3205,9148,completed
22,2660,97,1,0-2,1,0.007556569444444443,0.008406666666666666,5760,3100,5857,completed
23,2887,183,4,0-2,3-4,0.057024833333333316,0.06344,5760,2873,5943,completed
24,3055,65,1,0-2,1,0.005063680555555555,0.005633333333333333,5760,2705,5825,completed
25,3134,34571,2,48+,2,22.867604333333333,5.992306666666667,5760,2626,40331,completed
26,3178,74,1,0-2,1,0.005764805555555554,0.006413333333333333,5760,2582,5834,completed
27,3179,68,1,0-2,1,0.005297388888888887,0.005893333333333334,5760,2581,5828,completed
28,3284,2472,1,2-6,1,0.21145833333333336,0.21424,5760,2476,8232,completed
