ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,1260,1,0-2,1,0.17048750000000001,0.1092,0,0,1260,completed
1,13,200,1,0-2,1,0.02670555555555556,0.017333333333333333,13,0,213,completed
2,92,314,3,0-2,3-4,0.12578316666666667,0.08164,92,0,406,completed
25,3134,34571,2,48+,2,21.86251,5.992306666666667,3854,720,38425,completed
21,2555,3388,1,6-12,1,0.356517375,0.29362666666666665,3995,1440,7383,completed
28,3284,2472,1,2-6,1,0.27679838888888886,0.21424,4004,720,6476,completed
17,1997,1667,1,2-6,1,0.20267327777777777,0.14447333333333334,4157,2160,5824,completed
12,1284,5424,1,6-12,1,0.5739153333333333,0.47008,4164,2880,9588,completed
7,587,10992,1,12-24,1,2.1507993888888883,0.95264,4187,3600,15179,completed
8,601,10569,1,12-24,1,2.041220694444444,0.91598,4201,3600,14770,completed
32,3505,2215,1,2-6,1,0.2402913888888889,0.19196666666666667,4225,720,6440,completed
13,1389,2434,2,2-6,2,0.5114412777777778,0.42189333333333334,4269,2880,6703,completed
9,810,4732,3,6-12,3-4,1.4114349166666669,1.23032,4410,3600,9142,completed
3,167,4709,1,6-12,1,0.46607037500000004,0.40811333333333333,4487,4320,9196,completed
35,4543,2548,1,2-6,1,0.2490442916666667,0.22082666666666667,4543,0,7091,completed
36,4712,5939,1,12-24,1,0.698753861111111,0.5147133333333334,4712,0,10651,completed
4,397,133,1,0-2,1,0.019083652777777783,0.011526666666666668,4717,4320,4850,completed
5,523,125,2,0-2,2,0.03587152777777779,0.021666666666666667,4843,4320,4968,completed
6,523,125,2,0-2,2,0.03587152777777779,0.021666666666666667,4843,4320,4968,completed
10,958,350,2,0-2,2,0.06758888888888889,0.06066666666666667,5278,4320,5628,completed
11,1159,565,1,0-2,1,0.049256499999999995,0.048966666666666665,5479,4320,6044,completed
41,5540,4093,1,6-12,1,0.4064175555555556,0.3547266666666667,5540,0,9633,completed
31,3487,285,3,0-2,3-4,0.07293016666666666,0.0741,5647,2160,5932,completed
18,2096,83,1,0-2,1,0.007659708333333332,0.007193333333333334,5696,3600,5779,completed
33,4268,61,1,0-2,1,0.005722013888888887,0.005286666666666667,5708,1440,5769,completed
23,2887,183,4,0-2,3-4,0.057024833333333316,0.06344,5767,2880,5950,completed
14,1515,408,1,0-2,1,0.03178433333333333,0.03536,5835,4320,6243,completed
19,2253,494,1,0-2,1,0.03848397222222222,0.042813333333333335,5853,3600,6347,completed
20,2299,112,1,0-2,1,0.00872511111111111,0.009706666666666667,5899,3600,6011,completed
