ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,1260,1,0-2,1,0.17048750000000001,0.0,0,0,1260,completed
1,13,200,1,0-2,1,0.02670555555555556,0.0,13,0,213,completed
2,92,314,3,0-2,3-4,0.12578316666666667,0.0,92,0,406,completed
3,167,4709,1,6-12,1,0.6804191388888889,0.0,167,0,4876,completed
4,397,133,1,0-2,1,0.017759194444444446,0.0,397,0,530,completed
5,523,125,2,0-2,2,0.03338194444444444,0.0,523,0,648,completed
6,523,125,2,0-2,2,0.03338194444444444,0.0,523,0,648,completed
7,587,10992,1,12-24,1,1.524372486111111,0.0,587,0,11579,completed
8,601,10569,1,12-24,1,1.4182971666666666,0.0,601,0,11170,completed
9,810,4732,3,6-12,3-4,1.9985689166666665,0.0,810,0,5542,completed
10,958,350,2,0-2,2,0.09637638888888891,0.0,958,0,1308,completed
11,1159,565,1,0-2,1,0.07952651388888889,0.0,1261,102,1826,completed
12,1284,5424,1,6-12,1,0.6962084583333333,0.0,1309,25,6733,completed
14,1515,408,1,0-2,1,0.05800966666666667,0.0,1515,0,1923,completed
15,1725,222,1,0-2,1,0.031564083333333326,0.0,1827,102,2049,completed
16,1725,222,1,0-2,1,0.031564083333333326,0.0,1924,199,2146,completed
17,1997,1667,1,2-6,1,0.2489823611111111,0.0,2050,53,3717,completed
18,2096,83,1,0-2,1,0.011872930555555555,0.0,2147,51,2230,completed
19,2253,494,1,0-2,1,0.07074491666666666,0.0,2253,0,2747,completed
20,2299,112,1,0-2,1,0.016039333333333333,0.0,2748,449,2860,completed
21,2555,3388,1,6-12,1,0.4358354166666667,0.0,2861,306,6249,completed
22,2660,97,1,0-2,1,0.014792500000000002,0.0,3718,1058,3815,completed
24,3055,65,1,0-2,1,0.0099125,0.0,3816,761,3881,completed
25,3134,34571,2,48+,2,21.86251,5.992306666666667,3854,720,38425,completed
26,3178,74,1,0-2,1,0.011285,0.0,3882,704,3956,completed
27,3179,68,1,0-2,1,0.010369999999999999,0.0,3957,778,4025,completed
28,3284,2472,1,2-6,1,0.27679838888888886,0.21424,4004,720,6476,completed
30,3349,704,1,0-2,1,0.10366430555555557,0.0,4026,677,4730,completed
32,3505,2215,1,2-6,1,0.2402913888888889,0.19196666666666667,4225,720,6440,completed
13,1389,2434,2,2-6,2,0.5114412777777778,0.42189333333333334,4269,2880,6703,completed
35,4543,2548,1,2-6,1,0.2490442916666667,0.22082666666666667,4543,0,7091,completed
36,4712,5939,1,12-24,1,0.698753861111111,0.5147133333333334,4712,0,10651,completed
33,4268,61,1,0-2,1,0.008752652777777781,0.0,4731,463,4792,completed
34,4465,709,1,0-2,1,0.08004973611111112,0.0,4793,328,5502,completed
29,3291,95,2,0-2,2,0.018345555555555566,0.016466666666666668,5451,2160,5546,completed
37,4901,471,2,0-2,2,0.08297194444444443,0.0,5503,602,5974,completed
