ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,720,1,0-2,1,0.09614,0.0,0,0,720,completed
1,13,200,1,0-2,1,0.02670555555555556,0.0,13,0,213,completed
2,92,314,3,0-2,3-4,0.12578316666666667,0.0,92,0,406,completed
3,167,389,1,0-2,1,0.051942305555555554,0.0,167,0,556,completed
4,397,133,1,0-2,1,0.017759194444444446,0.0,397,0,530,completed
6,523,125,2,0-2,2,0.03338194444444444,0.0,523,0,648,completed
5,523,125,2,0-2,2,0.03338194444444444,0.0,523,0,648,completed
7,587,8773,1,12-24,1,1.0547591944444445,0.0,587,0,9360,completed
8,601,2649,1,2-6,1,0.37825577777777775,0.0,601,0,3250,completed
9,810,412,3,0-2,3-4,0.1701731666666667,0.0,810,0,1222,completed
12,1284,1104,1,0-2,1,0.15649966666666665,0.0,1284,0,2388,completed
25,3134,9106,2,12-24,2,2.759922611111111,0.0,3134,0,12240,completed
8,601,5760,1,6-12,1,0.6200000000000001,0.0,3600,2999,9360,completed
36,4712,4648,1,6-12,1,0.45395344444444446,0.0,4712,0,9360,completed
0,0,540,1,0-2,1,0.05213999999999999,0.0,5040,5040,5580,completed
3,167,4320,1,6-12,1,0.40689,0.0,5040,4873,9360,completed
9,810,4320,3,6-12,3-4,1.22067,1.1232,5040,4230,9360,completed
10,958,350,2,0-2,2,0.06758888888888889,0.0,5040,4082,5390,completed
11,1159,281,1,0-2,1,0.02713211111111111,0.024353333333333334,5040,3881,5321,completed
12,1284,4320,1,6-12,1,0.40689,0.3744,5040,3756,9360,completed
21,2555,508,1,0-2,1,0.04905022222222221,0.044026666666666665,5040,2485,5548,completed
41,5540,3820,1,6-12,1,0.3586122222222223,0.0,5540,0,9360,completed
11,1159,284,1,0-2,1,0.022124388888888884,0.0,5760,4601,6044,completed
13,1389,2434,2,2-6,2,0.4159552777777778,0.42189333333333334,5760,4371,8194,completed
14,1515,408,1,0-2,1,0.03178433333333333,0.0,5760,4245,6168,completed
16,1725,222,1,0-2,1,0.017294416666666663,0.01924,5760,4035,5982,completed
15,1725,222,1,0-2,1,0.017294416666666663,0.01924,5760,4035,5982,completed
17,1997,1667,1,2-6,1,0.13811970833333334,0.14447333333333334,5760,3763,7427,completed
18,2096,83,1,0-2,1,0.006465930555555554,0.007193333333333334,5760,3664,5843,completed
19,2253,494,1,0-2,1,0.03848397222222222,0.042813333333333335,5760,3507,6254,completed
20,2299,112,1,0-2,1,0.00872511111111111,0.009706666666666667,5760,3461,5872,completed
