ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,720,1,0-2,1,0.09614,0.01248,0,0,720,completed
1,13,200,1,0-2,1,0.02670555555555556,0.0034666666666666665,13,0,213,completed
2,92,314,3,0-2,3-4,0.12578316666666667,0.016328,92,0,406,completed
3,167,553,1,6-12,1,0.07384086111111113,0.047926666666666666,167,0,720,completed
4,397,133,1,0-2,1,0.017759194444444446,0.0023053333333333333,397,0,530,completed
6,523,125,2,0-2,2,0.03338194444444444,0.004333333333333333,523,0,648,completed
5,523,125,2,0-2,2,0.03338194444444444,0.004333333333333333,523,0,648,completed
7,587,853,1,12-24,1,0.11688919444444446,0.07392666666666667,587,0,1440,completed
8,601,839,1,12-24,1,0.11501980555555558,0.07271333333333334,601,0,1440,completed
9,810,630,3,6-12,3-4,0.2602162500000001,0.1638,810,0,1440,completed
10,958,350,2,0-2,2,0.09637638888888891,0.012133333333333333,958,0,1308,completed
11,1159,281,1,0-2,1,0.038688236111111114,0.004870666666666666,1159,0,1440,completed
12,1284,156,1,6-12,1,0.021478166666666673,0.01352,1284,0,1440,completed
13,1389,771,2,2-6,2,0.21878341666666667,0.13364,1389,0,2160,completed
14,1515,408,1,0-2,1,0.05800966666666667,0.007071999999999999,1515,0,1923,completed
15,1725,222,1,0-2,1,0.031564083333333326,0.003848,1725,0,1947,completed
16,1725,222,1,0-2,1,0.031564083333333326,0.003848,1725,0,1947,completed
17,1997,163,1,2-6,1,0.023175430555555553,0.014126666666666668,1997,0,2160,completed
18,2096,83,1,0-2,1,0.011820513888888889,0.0014386666666666667,2096,0,2179,completed
19,2253,494,1,0-2,1,0.07074491666666666,0.008562666666666666,2253,0,2747,completed
20,2299,112,1,0-2,1,0.016039333333333333,0.001941333333333333,2299,0,2411,completed
21,2555,325,1,6-12,1,0.046542708333333335,0.028166666666666666,2555,0,2880,completed
22,2660,97,1,0-2,1,0.013891208333333332,0.0016813333333333333,2660,0,2757,completed
33,4268,61,1,0-2,1,0.009221375,0.0010573333333333333,4268,0,4329,completed
23,2887,183,4,0-2,3-4,0.10503183333333337,0.012688,4320,1433,4503,completed
24,3055,65,1,0-2,1,0.009326597222222224,0.0011266666666666667,4320,1265,4385,completed
25,3134,5040,2,48+,2,1.0204,0.8736,4320,1186,9360,completed
26,3178,74,1,0-2,1,0.010617972222222225,0.0012826666666666665,4320,1142,4394,completed
27,3179,68,1,0-2,1,0.009757055555555559,0.0011786666666666666,4320,1141,4388,completed
28,3284,2472,1,2-6,1,0.25553533333333334,0.21424,4320,1036,6792,completed
29,3291,95,2,0-2,2,0.027262361111111123,0.003293333333333333,4320,1029,4415,completed
30,3349,704,1,0-2,1,0.10101422222222224,0.012202666666666665,4320,971,5024,completed
31,3487,285,3,0-2,3-4,0.12268062500000002,0.01482,4320,833,4605,completed
32,3505,2215,1,2-6,1,0.23361180555555558,0.19196666666666667,4320,815,6535,completed
34,4465,709,1,0-2,1,0.09544295833333336,0.012289333333333333,4465,0,5174,completed
35,4543,2548,1,2-6,1,0.2490442916666667,0.22082666666666667,4543,0,7091,completed
36,4712,4648,1,12-24,1,0.45395344444444446,0.40282666666666667,4712,0,9360,completed
37,4901,471,2,0-2,2,0.10400202777777777,0.016328,4901,0,5372,completed
0,0,540,1,0-2,1,0.05213999999999999,0.00936,5040,5040,5580,completed
3,167,4156,1,6-12,1,0.38672255555555557,0.36018666666666665,5040,4873,9196,completed
7,587,4320,1,12-24,1,0.40689,0.3744,5040,4453,9360,completed
8,601,4320,1,12-24,1,0.40689,0.3744,5040,4439,9360,completed
9,810,4102,3,6-12,3-4,1.140246166666667,1.06652,5040,4230,9142,completed
11,1159,284,1,0-2,1,0.027421777777777778,0.004922666666666666,5040,3881,5324,completed
12,1284,4320,1,6-12,1,0.40689,0.3744,5040,3756,9360,completed
13,1389,1663,2,2-6,2,0.28926627777777775,0.28825333333333336,5040,3651,6703,completed
17,1997,1504,1,2-6,1,0.13106955555555555,0.13034666666666667,5040,3043,6544,completed
21,2555,3063,1,6-12,1,0.2691622916666667,0.26546000000000003,5040,2485,8103,completed
38,5372,118,2,0-2,2,0.022787111111111116,0.004090666666666666,5372,0,5490,completed
39,5372,118,2,0-2,2,0.022787111111111116,0.004090666666666666,5372,0,5490,completed
40,5375,67,4,0-2,3-4,0.025876888888888887,0.004645333333333333,5375,0,5442,completed
41,5540,4093,1,6-12,1,0.4064175555555556,0.3547266666666667,5540,0,9633,completed
42,6242,427,1,0-2,1,0.03466361111111111,0.007401333333333333,6242,0,6669,completed
43,6624,320,2,0-2,2,0.05459555555555557,0.011093333333333334,6624,0,6944,completed
44,6646,707,1,0-2,1,0.06115040277777779,0.012254666666666665,6646,0,7353,completed
45,6666,2386,1,2-6,1,0.22753772222222224,0.20678666666666667,6666,0,9052,completed
46,6676,4124,1,6-12,1,0.540340111111111,0.35741333333333336,6676,0,10800,completed
47,6699,67,2,0-2,2,0.011430944444444447,0.0023226666666666665,6699,0,6766,completed
48,6819,3748,1,6-12,1,0.47969683333333335,0.32482666666666665,6819,0,10567,completed
49,6921,77,1,0-2,1,0.006568527777777779,0.0013346666666666665,6921,0,6998,completed
50,7474,3326,4,12-24,3-4,1.883052333333333,1.1530133333333334,7474,0,10800,completed
51,7487,296,1,0-2,1,0.026874333333333333,0.005130666666666666,7487,0,7783,completed
52,7691,88,3,0-2,3-4,0.023969000000000004,0.004575999999999999,7691,0,7779,completed
53,7879,2921,1,6-12,1,0.43399245833333333,0.25315333333333334,7879,0,10800,completed
54,7991,77,1,0-2,1,0.00705298611111111,0.0013346666666666665,7991,0,8068,completed
55,8059,2741,1,12-24,1,0.4175379861111111,0.23755333333333334,8059,0,10800,completed
56,8115,2685,1,12-24,1,0.4124085416666666,0.2327,8115,0,10800,completed
57,8139,2558,1,2-6,1,0.38879479166666664,0.22169333333333333,8139,0,10697,completed
58,8157,2643,1,12-24,1,0.4085614583333333,0.22906,8157,0,10800,completed
59,8170,69,1,0-2,1,0.006320208333333332,0.001196,8170,0,8239,completed
60,8215,254,1,0-2,1,0.023265694444444443,0.004402666666666667,8215,0,8469,completed
