ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,6302,1,0-2,1,0.17054257222222224,0.10923466666666666,0,0,6302,completed
1,68,1000,1,0-2,1,0.02670555555555556,0.017333333333333333,68,0,1068,completed
2,463,1570,3,0-2,3-4,0.12578316666666664,0.08163999999999999,463,0,2033,completed
3,838,23549,1,6-12,1,0.6805399027777778,0.40818266666666664,838,0,24387,completed
4,1986,666,1,0-2,1,0.0177859,0.011543999999999999,1986,0,2652,completed
5,2619,628,2,0-2,2,0.03354217777777777,0.021770666666666664,2619,0,3247,completed
6,2619,628,2,0-2,2,0.03354217777777777,0.021770666666666664,2619,0,3247,completed
7,2939,54963,1,12-24,1,1.5247265555555556,0.952692,2939,0,57902,completed
8,3009,52845,1,12-24,1,1.4183841333333334,0.9159799999999999,3009,0,55854,completed
9,4052,23663,3,6-12,3-4,1.9986933666666664,1.230476,4052,0,27715,completed
10,4791,1750,2,0-2,2,0.09637638888888891,0.06066666666666666,4791,0,6541,completed
11,5796,2825,1,0-2,1,0.07906841388888888,0.048966666666666665,5796,0,8621,completed
12,6422,27120,1,6-12,1,0.6974968833333334,0.47008,6422,0,33542,completed
13,6947,12173,2,2-6,2,0.7179932722222222,0.4219973333333333,6947,0,19120,completed
14,7578,2040,1,0-2,1,0.058009666666666654,0.035359999999999996,7578,0,9618,completed
15,8628,1112,1,0-2,1,0.03162095555555555,0.019274666666666666,8628,0,9740,completed
16,8628,1112,1,0-2,1,0.03162095555555555,0.019274666666666666,8628,0,9740,completed
17,9988,8335,1,2-6,1,0.2484416222222222,0.14447333333333331,9988,0,18323,completed
18,10481,418,1,0-2,1,0.011906644444444442,0.007245333333333333,10481,0,10899,completed
19,11269,2474,1,0-2,1,0.07085948333333332,0.042882666666666666,11269,0,13743,completed
20,11498,562,1,0-2,1,0.016096616666666664,0.009741333333333333,11498,0,12060,completed
21,12778,16941,1,6-12,1,0.45579531388888894,0.29364399999999996,12778,0,29719,completed
22,13300,489,1,0-2,1,0.014005775000000002,0.008476,13300,0,13789,completed
23,14435,916,4,0-2,3-4,0.11438804444444443,0.06350933333333333,14435,0,15351,completed
24,15275,327,1,0-2,1,0.010208758333333335,0.005667999999999999,15275,0,15602,completed
25,15673,172856,2,48+,2,21.29846297777778,5.992341333333333,15673,0,188529,completed
26,15892,374,1,0-2,1,0.011676072222222222,0.006482666666666666,15892,0,16266,completed
27,15895,342,1,0-2,1,0.01067705,0.005927999999999999,15895,0,16237,completed
28,16421,12364,1,2-6,1,0.33163583611111114,0.21430933333333332,16421,0,28785,completed
29,16456,476,2,0-2,2,0.02972091111111111,0.016501333333333333,16456,0,16932,completed
30,16747,3522,1,0-2,1,0.10832246388888887,0.061048,16747,0,20269,completed
31,17435,1425,3,0-2,3-4,0.13160695833333333,0.0741,17435,0,18860,completed
32,17525,11077,1,2-6,1,0.2936356361111111,0.19200133333333333,17525,0,28602,completed
33,21343,306,1,0-2,1,0.00924466388888889,0.005304,21343,0,21649,completed
34,22329,3545,1,0-2,1,0.0954054138888889,0.06144666666666666,22329,0,25874,completed
35,22719,12740,1,2-6,1,0.24899774722222226,0.22082666666666664,22719,0,35459,completed
36,23562,29696,1,12-24,1,0.6988212166666667,0.5147306666666667,23562,0,53258,completed
37,24505,2356,2,0-2,2,0.10404065000000001,0.08167466666666666,24505,0,26861,completed
38,26860,591,2,0-2,2,0.022825733333333334,0.020488,26860,0,27451,completed
39,26860,591,2,0-2,2,0.022825733333333334,0.020488,26860,0,27451,completed
40,26878,337,4,0-2,3-4,0.026031377777777774,0.02336533333333333,26878,0,27215,completed
41,27704,20468,1,6-12,1,0.4065854666666667,0.35477866666666663,27704,0,48172,completed
42,31213,2135,1,0-2,1,0.03466805277777778,0.03700666666666667,31213,0,33348,completed
43,33121,1602,2,0-2,2,0.0546638,0.055535999999999995,33121,0,34723,completed
44,33231,3539,1,0-2,1,0.06122413333333333,0.06134266666666666,33231,0,36770,completed
45,33334,11933,1,2-6,1,0.2276416388888889,0.20683866666666664,33334,0,45267,completed
46,33381,21797,1,6-12,1,0.5973938777777779,0.37781466666666663,33381,0,55178,completed
