ID,arrival_time,length,cpus,length_class,resource_class,carbon_cost,dollar_cost,start_time,waiting_time,exit_time,reason
0,0,3600,1,0-2,1,0.09614000000000002,0.0624,0,0,3600,completed
1,68,1000,1,0-2,1,0.02670555555555556,0.017333333333333333,68,0,1068,completed
2,463,1570,3,0-2,3-4,0.12578316666666664,0.08163999999999999,463,0,2033,completed
3,838,1949,1,0-2,1,0.05204912777777779,0.03378266666666666,838,0,2787,completed
4,1986,666,1,0-2,1,0.0177859,0.011543999999999999,1986,0,2652,completed
6,2619,628,2,0-2,2,0.03354217777777777,0.021770666666666664,2619,0,3247,completed
5,2619,628,2,0-2,2,0.03354217777777777,0.021770666666666664,2619,0,3247,completed
7,2939,43861,1,12-24,1,1.0546523722222223,0.7602573333333333,2939,0,46800,completed
8,3009,13245,1,2-6,1,0.3782738333333333,0.22957999999999998,3009,0,16254,completed
9,4052,2063,3,0-2,3-4,0.17042099166666663,0.107276,4052,0,6115,completed
12,6422,5520,1,0-2,1,0.15650187777777774,0.09567999999999999,6422,0,11942,completed
25,15673,45527,2,12-24,2,2.759735294444445,1.5782693333333333,15673,0,61200,completed
8,3009,28800,1,6-12,1,0.62,0.4992,18000,14991,46800,completed
36,23562,23238,1,6-12,1,0.45389605,0.402792,23562,0,46800,completed
0,0,2702,1,0-2,1,0.05217862222222222,0.04683466666666666,25200,25200,27902,completed
3,838,21600,1,6-12,1,0.40689000000000003,0.37439999999999996,25200,24362,46800,completed
9,4052,21600,3,6-12,3-4,1.22067,1.1232,25200,21148,46800,completed
10,4791,1750,2,0-2,2,0.06758888888888888,0.06066666666666666,25200,20409,26950,completed
11,5796,1404,1,0-2,1,0.0271128,0.024336,25200,19404,26604,completed
12,6422,21600,1,6-12,1,0.40689000000000003,0.37439999999999996,25200,18778,46800,completed
21,12778,2541,1,0-2,1,0.04906953333333333,0.044044,25200,12422,27741,completed
41,27704,19096,1,6-12,1,0.3585349777777778,0.3309973333333333,27704,0,46800,completed
11,5796,1421,1,0-2,1,0.02213996944444445,0.024630666666666665,28800,23004,30221,completed
13,6947,12173,2,2-6,2,0.41606519444444445,0.4219973333333333,28800,21853,40973,completed
14,7578,2040,1,0-2,1,0.031784333333333345,0.035359999999999996,28800,21222,30840,completed
16,8628,1112,1,0-2,1,0.01732557777777778,0.019274666666666666,28800,20172,29912,completed
15,8628,1112,1,0-2,1,0.01732557777777778,0.019274666666666666,28800,20172,29912,completed
