arrival_time,length,cpus,status
0.0,402166.0,256,CANCELLED
419.0,263214.0,256,COMPLETED
113110.0,166311.0,48,FAILED
113979.0,221466.0,48,FAILED
139809.0,52580.0,10,FAILED
144265.0,86413.0,4,FAILED
144361.0,86407.0,4,FAILED
170114.0,44356.0,12,CANCELLED
170114.0,44357.0,12,CANCELLED
170226.0,44246.0,12,CANCELLED
170735.0,43735.0,12,CANCELLED
170735.0,43735.0,12,CANCELLED
177938.0,80040.0,6,CANCELLED
179523.0,89410.0,6,COMPLETED
183903.0,172810.0,12,CANCELLED
183994.0,54071.0,12,COMPLETED
186784.0,5602.0,128,COMPLETED
188021.0,46797.0,12,COMPLETED
188582.0,52736.0,12,COMPLETED
191053.0,1.0,72,FAILED
191189.0,5.0,72,FAILED
191560.0,182.0,1,FAILED
191872.0,118.0,1,FAILED
192419.0,2.0,1,FAILED
192636.0,112.0,1,FAILED
196779.0,46491.0,48,OUT_OF_MEMORY
197585.0,47888.0,48,COMPLETED
214473.0,55.0,2,FAILED
214676.0,51.0,12,COMPLETED
214676.0,50.0,12,COMPLETED
214676.0,353.0,12,CANCELLED
214676.0,52.0,12,COMPLETED
214726.0,1.0,12,FAILED
214727.0,10.0,12,CANCELLED
214727.0,302.0,12,CANCELLED
214729.0,300.0,12,CANCELLED
214737.0,10.0,12,CANCELLED
214747.0,10.0,12,CANCELLED
214757.0,11.0,12,CANCELLED
214768.0,10.0,12,CANCELLED
214778.0,10.0,12,CANCELLED
214788.0,11.0,12,CANCELLED
214799.0,10.0,12,CANCELLED
214809.0,10.0,12,CANCELLED
214819.0,11.0,12,CANCELLED
214830.0,10.0,12,CANCELLED
214840.0,10.0,12,CANCELLED
214850.0,11.0,12,CANCELLED
214861.0,10.0,12,CANCELLED
214871.0,10.0,12,CANCELLED
214881.0,10.0,12,CANCELLED
214944.0,10.0,12,CANCELLED
215027.0,0.0,12,CANCELLED
215390.0,18132.0,12,CANCELLED
215390.0,18132.0,12,CANCELLED
215390.0,18132.0,12,CANCELLED
215390.0,52.0,12,COMPLETED
215442.0,18080.0,12,CANCELLED
219662.0,11.0,50,COMPLETED
222633.0,4.0,72,FAILED
222826.0,43219.0,2,CANCELLED
223131.0,28.0,18,FAILED
223446.0,12.0,18,FAILED
223541.0,10.0,18,FAILED
223680.0,11.0,18,FAILED
223898.0,11.0,18,FAILED
226130.0,65.0,18,FAILED
226247.0,18.0,18,FAILED
226365.0,14.0,18,FAILED
227055.0,29.0,18,FAILED
228605.0,234.0,24,COMPLETED
229385.0,1778.0,128,COMPLETED
230334.0,10.0,10,FAILED
231668.0,22176.0,128,CANCELLED
232680.0,52603.0,10,FAILED
233181.0,43215.0,10,CANCELLED
233181.0,1241.0,10,COMPLETED
233522.0,999.0,2,FAILED
233523.0,9.0,2,FAILED
233885.0,142.0,24,FAILED
234114.0,585.0,12,COMPLETED
234189.0,103.0,24,FAILED
234422.0,581.0,12,COMPLETED
234521.0,1.0,12,FAILED
234522.0,1.0,12,FAILED
234523.0,0.0,12,FAILED
234524.0,1.0,12,FAILED
234524.0,0.0,12,FAILED
234525.0,1.0,12,FAILED
234526.0,1.0,12,FAILED
234526.0,0.0,12,FAILED
234527.0,1.0,12,FAILED
234528.0,1.0,12,FAILED
234529.0,2.0,12,FAILED
234531.0,0.0,12,FAILED
234531.0,1.0,12,FAILED
234532.0,1.0,12,FAILED
234533.0,1.0,12,FAILED
234534.0,0.0,12,FAILED
234534.0,1.0,12,FAILED
234535.0,1.0,12,FAILED
234536.0,1.0,12,FAILED
234537.0,0.0,12,FAILED
234537.0,1.0,12,FAILED
234538.0,1.0,12,FAILED
234539.0,1.0,12,FAILED
234540.0,2.0,12,FAILED
234540.0,0.0,12,FAILED
234542.0,1.0,12,FAILED
234543.0,2.0,12,FAILED
234545.0,2.0,12,FAILED
234545.0,0.0,12,FAILED
234547.0,1.0,12,FAILED
234548.0,1.0,12,FAILED
234549.0,2.0,12,FAILED
234551.0,0.0,12,FAILED
234551.0,1.0,12,FAILED
234552.0,1.0,12,FAILED
234553.0,1.0,12,FAILED
234554.0,0.0,12,FAILED
234554.0,1.0,12,FAILED
234555.0,1.0,12,FAILED
234556.0,1.0,12,FAILED
234557.0,0.0,12,FAILED
234557.0,2.0,12,FAILED
234559.0,1.0,12,FAILED
234560.0,1.0,12,FAILED
234561.0,0.0,12,FAILED
234561.0,1.0,12,FAILED
234562.0,1.0,12,FAILED
234563.0,1.0,12,FAILED
234564.0,1.0,12,FAILED
234564.0,0.0,12,FAILED
234565.0,1.0,12,FAILED
234566.0,1.0,12,FAILED
234567.0,1.0,12,FAILED
234568.0,0.0,12,FAILED
234568.0,1.0,12,FAILED
234569.0,1.0,12,FAILED
