zone,carbon_intensity_avg,datetime,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod
DE,414.0,2024-07-01T00:00:00.000Z,2024-07-01T09:48:12.541Z,2024-06-28T00:46:20.367Z,lifecycle,False,
DE,427.0,2024-07-01T01:00:00.000Z,2024-07-01T09:48:12.541Z,2024-06-28T01:47:01.380Z,lifecycle,False,
DE,444.0,2024-07-01T02:00:00.000Z,2024-07-01T09:47:50.750Z,2024-06-28T02:49:06.136Z,lifecycle,False,
DE,450.0,2024-07-01T03:00:00.000Z,2024-07-01T09:48:17.176Z,2024-06-28T03:49:41.274Z,lifecycle,False,
DE,444.0,2024-07-01T04:00:00.000Z,2024-07-01T14:52:12.268Z,2024-06-28T04:49:31.975Z,lifecycle,False,
DE,423.0,2024-07-01T05:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T05:48:28.998Z,lifecycle,False,
DE,384.0,2024-07-01T06:00:00.000Z,2024-07-01T14:52:12.268Z,2024-06-28T06:48:33.496Z,lifecycle,False,
DE,361.0,2024-07-01T07:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T07:49:36.269Z,lifecycle,False,
DE,314.0,2024-07-01T08:00:00.000Z,2024-07-01T14:51:29.271Z,2024-06-28T08:53:40.964Z,lifecycle,False,
DE,270.0,2024-07-01T09:00:00.000Z,2024-07-01T14:52:12.268Z,2024-06-28T09:48:12.429Z,lifecycle,False,
DE,244.0,2024-07-01T10:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T10:50:38.965Z,lifecycle,False,
DE,211.0,2024-07-01T11:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T11:51:58.426Z,lifecycle,False,
DE,192.0,2024-07-01T12:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T12:51:48.753Z,lifecycle,False,
DE,203.0,2024-07-01T13:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T13:51:57.933Z,lifecycle,False,
DE,207.0,2024-07-01T14:00:00.000Z,2024-07-01T14:51:55.597Z,2024-06-28T14:48:16.121Z,lifecycle,True,FORECASTS_HIERARCHY
DE,246.0,2024-07-01T15:00:00.000Z,2024-07-01T14:51:29.271Z,2024-06-28T15:49:24.838Z,lifecycle,True,FORECASTS_HIERARCHY
DE,323.0,2024-07-01T16:00:00.000Z,2024-07-02T13:48:25.524Z,2024-06-28T16:49:39.564Z,lifecycle,False,
DE,371.0,2024-07-01T17:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-28T17:48:54.018Z,lifecycle,False,
DE,402.0,2024-07-01T18:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-28T18:48:05.359Z,lifecycle,False,
DE,422.0,2024-07-01T19:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-28T19:49:11.020Z,lifecycle,False,
DE,434.0,2024-07-01T20:00:00.000Z,2024-07-02T13:47:57.996Z,2024-06-28T20:49:43.449Z,lifecycle,False,
DE,411.0,2024-07-01T21:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-28T21:51:15.701Z,lifecycle,False,
DE,396.0,2024-07-01T22:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-28T22:48:52.412Z,lifecycle,False,
DE,366.0,2024-07-01T23:00:00.000Z,2024-07-02T13:47:57.996Z,2024-06-28T23:50:54.426Z,lifecycle,False,
DE,360.0,2024-07-02T00:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-29T00:47:42.850Z,lifecycle,False,
DE,359.0,2024-07-02T01:00:00.000Z,2024-07-02T09:47:44.047Z,2024-06-29T01:50:20.983Z,lifecycle,False,
DE,366.0,2024-07-02T02:00:00.000Z,2024-07-02T09:47:26.171Z,2024-06-29T02:47:33.038Z,lifecycle,False,
DE,375.0,2024-07-02T03:00:00.000Z,2024-07-02T09:47:49.156Z,2024-06-29T03:47:37.810Z,lifecycle,False,
DE,386.0,2024-07-02T04:00:00.000Z,2024-07-02T09:47:26.171Z,2024-06-29T04:48:51.965Z,lifecycle,False,
DE,370.0,2024-07-02T05:00:00.000Z,2024-07-02T09:47:49.156Z,2024-06-29T05:51:26.216Z,lifecycle,False,
DE,354.0,2024-07-02T06:00:00.000Z,2024-07-02T13:48:34.790Z,2024-06-29T06:47:40.816Z,lifecycle,False,
DE,319.0,2024-07-02T07:00:00.000Z,2024-07-02T13:48:25.524Z,2024-06-29T07:48:35.035Z,lifecycle,False,
DE,278.0,2024-07-02T08:00:00.000Z,2024-07-02T13:48:25.524Z,2024-06-29T08:47:37.620Z,lifecycle,False,
DE,267.0,2024-07-02T09:00:00.000Z,2024-07-02T13:48:54.391Z,2024-06-29T09:49:36.173Z,lifecycle,False,
DE,269.0,2024-07-02T10:00:00.000Z,2024-07-02T13:48:25.524Z,2024-06-29T10:49:22.816Z,lifecycle,False,
DE,251.0,2024-07-02T11:00:00.000Z,2024-07-02T14:50:05.774Z,2024-06-29T11:48:52.580Z,lifecycle,False,
DE,236.0,2024-07-02T12:00:00.000Z,2024-07-02T14:50:05.774Z,2024-06-29T12:48:13.711Z,lifecycle,False,
DE,249.0,2024-07-02T13:00:00.000Z,2024-07-02T14:50:05.774Z,2024-06-29T13:50:45.027Z,lifecycle,True,FORECASTS_HIERARCHY
DE,286.0,2024-07-02T14:00:00.000Z,2024-07-02T14:50:10.444Z,2024-06-29T14:51:24.929Z,lifecycle,True,FORECASTS_HIERARCHY
DE,334.0,2024-07-02T15:00:00.000Z,2024-07-02T14:50:10.444Z,2024-06-29T15:48:26.959Z,lifecycle,True,FORECASTS_HIERARCHY
DE,321.0,2024-07-02T16:00:00.000Z,2024-07-03T13:47:15.141Z,2024-06-29T16:50:20.655Z,lifecycle,False,
DE,351.0,2024-07-02T17:00:00.000Z,2024-07-03T13:47:07.789Z,2024-06-29T17:51:12.002Z,lifecycle,False,
DE,368.0,2024-07-02T18:00:00.000Z,2024-07-03T13:47:07.789Z,2024-06-29T18:48:40.784Z,lifecycle,False,
DE,382.0,2024-07-02T19:00:00.000Z,2024-07-03T13:47:07.789Z,2024-06-29T19:46:57.855Z,lifecycle,False,
DE,394.0,2024-07-02T20:00:00.000Z,2024-07-03T13:47:07.789Z,2024-06-29T20:47:13.444Z,lifecycle,False,
DE,394.0,2024-07-02T21:00:00.000Z,2024-07-03T13:46:49.385Z,2024-06-29T21:48:44.901Z,lifecycle,False,
DE,375.0,2024-07-02T22:00:00.000Z,2024-07-03T06:50:12.432Z,2024-06-29T22:48:56.635Z,lifecycle,False,
DE,359.0,2024-07-02T23:00:00.000Z,2024-07-03T06:50:25.492Z,2024-06-29T23:48:23.260Z,lifecycle,False,
DE,355.0,2024-07-03T00:00:00.000Z,2024-07-03T06:50:25.492Z,2024-06-30T00:48:35.839Z,lifecycle,False,
DE,357.0,2024-07-03T01:00:00.000Z,2024-07-03T08:49:21.746Z,2024-06-30T01:49:16.437Z,lifecycle,False,
DE,358.0,2024-07-03T02:00:00.000Z,2024-07-03T08:49:21.746Z,2024-06-30T02:48:33.851Z,lifecycle,False,
DE,381.0,2024-07-03T03:00:00.000Z,2024-07-03T09:50:48.248Z,2024-06-30T03:50:04.022Z,lifecycle,False,
DE,403.0,2024-07-03T04:00:00.000Z,2024-07-03T09:50:48.248Z,2024-06-30T04:47:17.740Z,lifecycle,False,
DE,402.0,2024-07-03T05:00:00.000Z,2024-07-03T09:50:48.248Z,2024-06-30T05:49:59.255Z,lifecycle,False,
DE,370.0,2024-07-03T06:00:00.000Z,2024-07-03T10:52:04.221Z,2024-06-30T06:48:10.363Z,lifecycle,False,
DE,337.0,2024-07-03T07:00:00.000Z,2024-07-03T14:50:46.139Z,2024-06-30T07:48:33.352Z,lifecycle,False,
DE,303.0,2024-07-03T08:00:00.000Z,2024-07-03T14:50:27.026Z,2024-06-30T08:51:04.163Z,lifecycle,False,
DE,275.0,2024-07-03T09:00:00.000Z,2024-07-03T14:50:46.139Z,2024-06-30T09:49:45.114Z,lifecycle,False,
DE,267.0,2024-07-03T10:00:00.000Z,2024-07-03T13:47:07.789Z,2024-06-30T10:47:24.197Z,lifecycle,False,
DE,271.0,2024-07-03T11:00:00.000Z,2024-07-03T14:50:46.139Z,2024-06-30T11:50:13.226Z,lifecycle,False,
DE,287.0,2024-07-03T12:00:00.000Z,2024-07-03T14:50:46.139Z,2024-06-30T12:50:43.036Z,lifecycle,False,
DE,309.0,2024-07-03T13:00:00.000Z,2024-07-03T14:50:46.139Z,2024-06-30T13:49:33.183Z,lifecycle,False,
DE,341.0,2024-07-03T14:00:00.000Z,2024-07-03T14:50:27.026Z,2024-06-30T14:49:24.939Z,lifecycle,True,FORECASTS_HIERARCHY
DE,401.0,2024-07-03T15:00:00.000Z,2024-07-03T14:50:27.026Z,2024-06-30T15:50:52.174Z,lifecycle,True,FORECASTS_HIERARCHY
DE,388.0,2024-07-03T16:00:00.000Z,2024-07-04T13:51:08.374Z,2024-06-30T16:47:55.305Z,lifecycle,False,
DE,419.0,2024-07-03T17:00:00.000Z,2024-07-04T13:51:08.374Z,2024-06-30T17:47:52.624Z,lifecycle,False,
DE,443.0,2024-07-03T18:00:00.000Z,2024-07-04T13:50:41.347Z,2024-06-30T18:47:35.395Z,lifecycle,False,
DE,449.0,2024-07-03T19:00:00.000Z,2024-07-04T13:51:08.374Z,2024-06-30T19:46:21.641Z,lifecycle,False,
DE,428.0,2024-07-03T20:00:00.000Z,2024-07-04T13:50:14.495Z,2024-06-30T20:48:33.761Z,lifecycle,False,
DE,351.0,2024-07-03T21:00:00.000Z,2024-07-04T13:51:08.374Z,2024-06-30T21:49:20.778Z,lifecycle,False,
DE,244.0,2024-07-03T22:00:00.000Z,2024-07-04T14:49:34.585Z,2024-06-30T22:50:07.678Z,lifecycle,False,
DE,195.0,2024-07-03T23:00:00.000Z,2024-07-04T14:49:34.585Z,2024-06-30T23:47:44.939Z,lifecycle,False,
DE,190.0,2024-07-04T00:00:00.000Z,2024-07-04T09:49:04.846Z,2024-07-01T00:52:00.478Z,lifecycle,False,
DE,189.0,2024-07-04T01:00:00.000Z,2024-07-04T09:49:04.846Z,2024-07-01T01:49:03.550Z,lifecycle,False,
DE,189.0,2024-07-04T02:00:00.000Z,2024-07-04T09:49:04.846Z,2024-07-01T02:48:59.346Z,lifecycle,False,
DE,180.0,2024-07-04T03:00:00.000Z,2024-07-04T09:49:04.846Z,2024-07-01T03:49:09.545Z,lifecycle,False,
DE,180.0,2024-07-04T04:00:00.000Z,2024-07-04T09:49:04.846Z,2024-07-01T04:47:05.980Z,lifecycle,False,
DE,183.0,2024-07-04T05:00:00.000Z,2024-07-04T09:49:10.595Z,2024-07-01T05:52:08.524Z,lifecycle,False,
DE,161.0,2024-07-04T06:00:00.000Z,2024-07-04T09:48:44.609Z,2024-07-01T06:50:49.809Z,lifecycle,False,
DE,144.0,2024-07-04T07:00:00.000Z,2024-07-04T14:49:25.279Z,2024-07-01T07:49:00.026Z,lifecycle,False,
